aid,sid,cid,acname,acvalue_uM,aidname,cid_1,patentid,cid_2,inchi,inchikey,cmpdsynonym,smiles,exp_type
1430795,,CHEMBL831139,pIC50,5.113509274827518,Inhibitory activity against alpha-2A adrenergic receptor by using [3H]MK-912 as radioligand expressed in COS-1 cells,CHEMBL831139,,CHEMBL831139,,,,CN(C)c1nc(NC[C@H]2CC[C@H](CNS(=O)(=O)c3ccc(Br)cc3OC(F)(F)F)CC2)nc2ccccc12,inhibitory activity
1430793,,CHEMBL832373,pIC50,3.795880017344075,"Inhibitory activity against human CA-MCH-R1 (Melanin-concentrating hormone receptor 1) by using [125I](Phe13,Tyr19)MCH as radioligand expressed in HEK293 cells",CHEMBL832373,,CHEMBL832373,,,,CN(C)c1nc(NC[C@H]2CC[C@H](CNS(=O)(=O)c3ccc(Br)cc3OC(F)(F)F)CC2)nc2ccccc12,inhibitory activity
1430794,,CHEMBL874561,pIC50,5.568636235841012,Inhibitory activity against neuropeptide Y receptor type 5 by using [125I]PYY as radioligand expressed in COS-1 cells,CHEMBL874561,,CHEMBL874561,,,,CN(C)c1nc(NC[C@H]2CC[C@H](CNS(=O)(=O)c3ccc(Br)cc3OC(F)(F)F)CC2)nc2ccccc12,inhibitory activity
3414602,,CHEMBL1228974,pIC50,4.958607314841775,Displacement of [125I]MCH from human recombinant MCHR1 expressed in CHOK1 cells by scintillation proximity assay,CHEMBL1228974,,CHEMBL1228974,,,,CC(=O)Nc1cccc(C2CCN(CCCNc3nc4ccccc4n3-c3ccc(Cl)cc3)CC2)c1,displacement
3414639,,CHEMBL1228973,pIC50,4.309803919971486,Antagonist activity at human recombinant MCHR1 expressed in CHOK1 cells assessed as reduction in [3H]inositol phosphate levels by scintillation proximity assay,CHEMBL1228973,,CHEMBL1228973,,,,CC(=O)Nc1cccc(C2CCN(CCCNc3nc4ccccc4n3-c3ccc(Cl)cc3)CC2)c1,antagonist activity
3414640,,CHEMBL1228973,pIC50,3.958607314841775,Antagonist activity at human recombinant MCHR1 expressed in CHOK1 cells assessed as reduction in [3H]inositol phosphate levels by scintillation proximity assay,CHEMBL1228973,,CHEMBL1228973,,,,CC(=O)Nc1cccc(C2CCN(CCCNc3nc4ccccc4n3-c3cccc(Cl)c3)CC2)c1,antagonist activity
3414603,,CHEMBL1228974,pIC50,4.346787486224656,Displacement of [125I]MCH from human recombinant MCHR1 expressed in CHOK1 cells by scintillation proximity assay,CHEMBL1228974,,CHEMBL1228974,,,,CC(=O)Nc1cccc(C2CCN(CCCNc3nc4ccccc4n3-c3cccc(Cl)c3)CC2)c1,displacement
3414641,,CHEMBL1228973,pIC50,3.815308569182401,Antagonist activity at human recombinant MCHR1 expressed in CHOK1 cells assessed as reduction in [3H]inositol phosphate levels by scintillation proximity assay,CHEMBL1228973,,CHEMBL1228973,,,,CC(=O)Nc1cccc(C2CCN(CCCNc3nc4ccccc4n3-c3ccccc3)CC2)c1,antagonist activity
3414604,,CHEMBL1228974,pIC50,4.6777807052660805,Displacement of [125I]MCH from human recombinant MCHR1 expressed in CHOK1 cells by scintillation proximity assay,CHEMBL1228974,,CHEMBL1228974,,,,CC(=O)Nc1cccc(C2CCN(CCCNc3nc4ccccc4n3-c3ccccc3)CC2)c1,displacement
3414642,,CHEMBL1228973,pIC50,3.958607314841775,Antagonist activity at human recombinant MCHR1 expressed in CHOK1 cells assessed as reduction in [3H]inositol phosphate levels by scintillation proximity assay,CHEMBL1228973,,CHEMBL1228973,,,,COc1ccc(-n2c(NCCCN3CCC(c4cccc(NC(C)=O)c4)CC3)nc3ccccc32)cc1,antagonist activity
3414605,,CHEMBL1228974,pIC50,4.167491087293763,Displacement of [125I]MCH from human recombinant MCHR1 expressed in CHOK1 cells by scintillation proximity assay,CHEMBL1228974,,CHEMBL1228974,,,,COc1ccc(-n2c(NCCCN3CCC(c4cccc(NC(C)=O)c4)CC3)nc3ccccc32)cc1,displacement
3414606,,CHEMBL1228974,pIC50,4.619788758288394,Displacement of [125I]MCH from human recombinant MCHR1 expressed in CHOK1 cells by scintillation proximity assay,CHEMBL1228974,,CHEMBL1228974,,,,CC(=O)Nc1cccc(C2CCN(CCCNc3nc4ccccc4n3-c3ccc(C#N)cc3)CC2)c1,displacement
3414643,,CHEMBL1228973,pIC50,4.1487416512809245,Antagonist activity at human recombinant MCHR1 expressed in CHOK1 cells assessed as reduction in [3H]inositol phosphate levels by scintillation proximity assay,CHEMBL1228973,,CHEMBL1228973,,,,CC(=O)Nc1cccc(C2CCN(CCCNc3nc4ccccc4n3-c3ccc(C#N)cc3)CC2)c1,antagonist activity
3414607,,CHEMBL1228974,pIC50,4.455931955649724,Displacement of [125I]MCH from human recombinant MCHR1 expressed in CHOK1 cells by scintillation proximity assay,CHEMBL1228974,,CHEMBL1228974,,,,CC(=O)Nc1cccc(C2CCN(CCCNc3nc4ccccc4n3-c3ccc(C)cc3)CC2)c1,displacement
3414644,,CHEMBL1228973,pIC50,4.070581074285707,Antagonist activity at human recombinant MCHR1 expressed in CHOK1 cells assessed as reduction in [3H]inositol phosphate levels by scintillation proximity assay,CHEMBL1228973,,CHEMBL1228973,,,,CC(=O)Nc1cccc(C2CCN(CCCNc3nc4ccccc4n3-c3ccc(C)cc3)CC2)c1,antagonist activity
3414645,,CHEMBL1228973,pIC50,4.7447274948966935,Antagonist activity at human recombinant MCHR1 expressed in CHOK1 cells assessed as reduction in [3H]inositol phosphate levels by scintillation proximity assay,CHEMBL1228973,,CHEMBL1228973,,,,CC(=O)Nc1cccc(C2CCN(CCCNc3nc4ccccc4n3-c3ccc(F)cc3)CC2)c1,antagonist activity
3414608,,CHEMBL1228974,pIC50,5.698970004336019,Displacement of [125I]MCH from human recombinant MCHR1 expressed in CHOK1 cells by scintillation proximity assay,CHEMBL1228974,,CHEMBL1228974,,,,CC(=O)Nc1cccc(C2CCN(CCCNc3nc4ccccc4n3-c3ccc(F)cc3)CC2)c1,displacement
